gene_name	A2780_rep1	A2780_rep2	A2780_rep3	Acis_rep1	Acis_rep2	Acis_rep3
ITCH-IT1	2	3	0	0	3	2
PA2G4P6	16	13	10	12	14	11
PCAT7	165	173	157	229	226	219
SMC3P1	31	36	23	30	26	25
MTHFD1P1	52	50	42	55	47	58
TMEM139-AS1	9	12	5	17	16	9
FAM192BP	45	45	53	45	44	32
KRTCAP2P1	21	17	22	20	20	17
MRPS9-AS1	2	1	2	1	0	3
IPO9-AS1	13	14	14	10	11	8
SNRPFP1	30	26	28	21	21	22
NDUFB1P1	1	1	2	1	0	0
PRH1	33	30	30	25	35	24
MTND5P15	2	2	6	2	0	2
TRAF3IP2-AS1	15	23	20	14	28	16
DARS1-AS1	15	16	9	5	8	13
GAPDHP37	2	1	1	2	1	0
IDH1-AS1	3	3	5	0	1	1
TPRKBP1	5	4	4	4	3	4
NEBL-AS1	3	4	5	6	4	6
TAPBP	715	692	621	496	466	439
RPS7P3	3	2	2	2	2	0
HNRNPA1P36	0	0	0	1	0	1
DPY19L1P2	3	5	1	1	1	6
LINC02818	1	0	0	1	1	0
MMADHC-DT	4	4	4	0	0	0
PPP1R2B	17	21	16	13	13	22
ANXA2P2	109	111	99	99	119	108
EP300-AS1	1	0	1	4	2	4
LRRC8C-DT	9	6	4	0	2	2
CLCN3P1	3	6	1	0	1	0
CAP1P2	23	21	19	17	19	24
HSPE1P25	1	1	0	3	0	3
FAAHP1	4	5	2	4	2	3
LSM12P1	132	132	119	117	110	125
ZBED9	61	70	71	3	6	9
LINC01798	28	30	21	3	5	7
SLC4A1APP1	19	17	14	20	14	16
LINC01063	4	2	7	5	4	5
TMEM253	9	8	10	7	5	1
LINC01031	5	7	4	0	1	0
POLR2DP1	0	4	1	1	1	3
DCST1-AS1	19	21	17	30	35	18
RFX3-AS1	6	1	6	2	2	3
TMA7	102	107	110	110	108	107
MCTS1	244	223	209	155	171	158
IMPDH1P10	5	3	3	7	5	4
RPS15AP12	1	1	1	1	1	1
RPS25P9	2	3	2	4	1	4
ST13P4	6	7	5	8	9	5
RAP2C-AS1	15	21	23	4	8	6
LINC01873	5	3	7	0	0	0
MTND4P24	28	28	21	23	25	24
FTH1P7	4	7	5	4	3	4
CHORDC1P1	5	6	5	4	6	3
SLC25A6P2	9	11	10	12	8	7
LINC02043	5	9	5	5	5	7
ASCL5	0	0	0	0	1	0
BTF3L4P1	18	14	9	13	13	16
ACTR3P2	3	4	3	0	3	2
MTND1P32	6	5	3	0	1	4
DFFBP1	16	16	12	9	6	12
MXRA7P1	29	24	22	47	34	40
ARL5AP5	8	6	4	7	5	7
RPL4P2	1	1	2	0	0	2
ATP5MGP2	7	5	5	5	5	4
FTLP2	3	2	1	0	3	2
MTCYBP3	11	5	5	3	2	5
ZDHHC20P4	29	28	24	18	14	17
SKA2P1	15	14	9	5	7	9
SMIM26	72	83	75	65	62	63
RPL5P6	1	2	2	0	0	0
RAD17P1	7	9	7	6	5	7
KNOP1P4	0	2	2	1	3	1
AJM1	82	107	80	167	165	129
RPS26P42	5	0	0	0	4	2
MHENCR	40	35	28	18	27	21
EMSLR	136	120	104	175	155	154
BMPR1AP2	7	9	8	2	8	4
H3P31	4	5	4	4	6	2
TMA16P2	10	10	10	11	7	6
EEF1B2P3	125	131	122	123	131	136
KRT8P52	2	5	4	0	1	2
RPL37A-DT	5	7	4	2	6	1
DEPDC1P2	18	20	16	11	15	15
RASA3-IT1	3	1	1	0	1	1
RPL3P12	0	0	0	1	2	1
GCSIR	0	0	0	0	0	0
VDAC1P13	3	2	6	15	13	17
KMT5AP2	11	14	13	8	9	6
SRD5A1P1	2	4	3	1	2	0
CLK2P1	18	21	23	12	16	11
RPL23AP35	2	0	0	1	0	4
RPL3P4	163	156	147	152	156	143
KIAA1614-AS1	25	23	18	19	16	19
EEF1A1P3	6	5	11	3	3	3
KANTR	124	92	86	32	47	56
TONSL-AS1	1	1	2	0	0	3
MRAP-AS1	8	8	3	2	7	6
PRPS1P2	2	3	1	1	3	3
LINC01431	2	4	6	2	0	3
IDI2-AS1	3	9	6	3	7	7
LDHBP1	10	6	4	8	7	5
ZNF687-AS1	14	15	19	12	11	10
LINC00665	5	7	5	1	0	6
BDH2P1	10	6	5	1	3	5
RPS12P3	2	5	1	0	1	1
YWHAEP1	6	7	10	8	7	6
RHOQP2	12	12	17	10	17	14
ETF1P1	3	1	1	2	2	2
TIMM9P3	0	0	1	3	3	0
ITGA6-AS1	1	1	0	1	1	3
HNRNPDP1	27	19	19	19	17	19
SDCBPP3	3	3	3	3	3	2
DUX4L50	0	1	2	0	0	2
RPS2P32	1	2	0	0	0	0
PET117	20	16	20	14	21	21
KAT7P1	23	21	25	21	15	18
RPL34P27	5	5	3	7	5	4
LYRM9	25	26	24	9	7	7
SMG7-AS1	15	12	11	11	8	7
NUCKS1P1	17	13	19	14	11	10
SEC1P	2	0	1	0	1	1
CTAGE3P	4	4	2	5	0	3
PHKA1P1	30	25	21	21	23	25
RPS11P5	34	32	35	27	37	33
DLGAP4-AS1	12	13	6	7	1	5
RERE-AS1	0	1	2	2	0	4
RNF14P1	4	1	3	4	0	3
HSPE1P6	1	0	0	2	2	1
USP12PY	3	3	2	2	1	1
LINC00342	259	208	201	252	229	242
HCG25	12	16	14	19	28	22
RPL35AP20	4	1	1	2	0	2
IPO7P1	33	31	30	28	25	29
HSPA8P18	1	1	1	1	0	1
SNHG15	364	341	280	430	429	405
CYP1B1-AS1	62	33	39	91	82	93
LINC00327	3	4	3	5	22	19
AHCYP4	3	1	1	5	3	5
RPL7P14	4	3	1	3	3	2
MIR3936HG	10	8	8	2	0	3
RPEP4	7	7	4	5	4	4
HDAC1P2	5	7	7	6	6	3
SNHG7	348	317	282	431	435	369
CHORDC1P5	3	6	2	2	8	6
FAM204BP	1	3	3	4	3	2
EEF1A1P14	1	1	1	3	4	2
LINC00884	3	2	2	1	0	0
TTLL7-IT1	1	1	0	2	5	2
SAR1AP4	1	3	1	2	1	2
RPS15AP6	2	4	2	2	3	7
LINC01399	6	4	14	18	19	19
RAB6D	4	5	5	5	4	2
CCDC144NL-AS1	189	188	191	198	191	167
HOXB-AS3	20	17	12	2	4	5
RAB1C	25	19	18	23	18	14
CTAGE7P	3	8	4	3	5	4
ACTBP12	1	1	0	1	0	2
RPS15AP14	1	2	1	0	0	0
UBE2E2-AS1	0	0	0	1	0	0
HMGA1P8	15	11	18	12	14	15
RPS24P6	3	1	0	3	1	2
RNF224	0	0	0	0	0	0
DHCR24-DT	6	5	5	9	9	12
WBP1P2	4	3	0	0	2	0
LINC01687	31	36	40	2	3	1
LINC00167	8	8	6	7	15	7
SSBL3P1	156	149	149	128	120	117
CNOT7P1	5	5	8	4	8	2
LINC00472	1	1	0	0	0	0
PHC2-AS1	5	5	5	2	3	3
UBE2E4P	27	25	18	17	18	22
HMGB1P31	5	2	1	0	1	0
SNRPEP4	47	48	43	51	42	38
GPX1	190	188	172	149	136	148
TMEM18-DT	1	1	1	4	2	8
MIPEPP3	7	9	5	2	2	0
PFN1P1	38	36	36	41	33	26
TLR8-AS1	0	0	0	101	101	109
ATP6V1G1P4	2	3	1	2	1	0
ERP29P1	39	36	40	35	32	30
PDXP-DT	8	4	3	1	5	10
GTF2IP4	15	10	14	13	6	8
ACTR1AP1	2	0	2	0	1	2
RPS2P48	2	2	2	1	2	2
NKAPP1	9	16	15	5	1	2
CNIH3-AS2	1	0	0	5	1	6
LINC01719	6	5	2	0	2	0
PRKAR1AP1	2	4	4	3	5	4
LINC01783	20	16	16	7	7	5
EIF3FP3	160	154	136	139	131	104
MTIF2P1	2	1	0	1	0	1
AGGF1P2	1	0	5	0	0	0
STXBP5-AS1	0	1	1	0	1	1
HAX1P1	10	11	6	5	3	2
ST6GALNAC4P1	2	2	2	0	0	0
EEF1A1P6	8	15	3	9	13	11
EFCAB15P	6	11	3	9	11	5
TMEM238	5	0	1	4	3	0
SYNJ2-IT1	2	1	0	1	2	0
HNRNPLP1	13	13	13	15	16	16
ZNF197-AS1	4	4	0	0	0	0
RANP8	4	1	3	1	1	1
ZNF529-AS1	49	50	37	20	41	24
DNM3-IT1	2	0	3	1	6	3
B4GALT1-AS1	2	4	0	3	3	2
NFU1P2	14	10	7	0	0	0
LINC00513	0	5	4	1	2	1
KRT8P39	24	19	14	26	20	13
KRT8P15	7	8	10	3	7	6
CYP51A1P2	25	29	24	30	39	33
LINC02609	26	23	31	5	3	5
BTF3P5	9	8	7	9	7	6
ERI3-IT1	4	6	5	9	5	2
TWIST2	0	0	0	81	104	92
LINC01137	5	6	4	1	2	3
CYP2T1P	19	15	17	18	19	16
PGAM1P11	2	5	4	4	6	3
NENFP1	2	0	1	0	3	1
CALM2P4	0	2	1	1	2	1
CENPNP1	1	1	0	1	3	0
RNASEH2B-AS1	6	2	9	0	0	2
EBAG9P1	1	2	0	0	1	0
GAS6-AS1	6	11	12	1	1	4
MTFR2P1	1	5	1	1	1	5
GOT2P3	12	11	8	8	13	9
LINC01122	2	2	5	0	1	3
RPS15P4	63	62	58	70	63	58
CDC27P1	0	2	0	0	2	2
LINC01136	6	4	2	1	3	0
UFL1-AS1	1	1	4	1	0	0
LINC01237	4	4	1	3	7	3
H2BC15	244	246	217	261	259	261
EIF4HP1	129	120	108	130	107	108
ETF1P3	6	4	6	5	6	5
EIF3LP2	7	10	10	13	12	8
SELENOTP1	19	23	17	16	23	9
LINC02599	7	8	10	1	0	1
ADH5P4	42	48	34	39	35	25
SHROOM3-AS1	3	4	3	0	0	0
LLPHP3	25	33	30	29	26	32
DLG5-AS1	9	12	7	8	4	6
MFN1P1	9	3	9	7	7	14
YEATS2-AS1	6	6	5	10	10	7
PAIP1P1	8	4	0	4	5	4
LINC01503	27	24	25	49	45	60
RPL10P9	41	35	32	44	40	38
RPS15AP40	1	1	0	1	3	1
LINC01694	23	14	10	0	0	1
RPSAP13	3	10	8	7	7	7
RPS28	97	112	88	145	123	101
MT1XP1	4	4	3	5	9	6
KRTAP5-AS1	0	1	0	0	0	0
CTXN2	2	0	4	1	3	1
RCC2P3	1	2	2	0	0	1
UQCRHL	96	97	88	90	93	95
BTF3P6	3	5	2	8	6	10
UBE2SP1	41	45	41	33	31	28
RPS20P10	4	3	5	7	7	6
GDI2P2	32	33	22	32	29	24
GAPDHP22	2	0	0	0	0	2
DDX39B-AS1	5	2	3	3	3	3
RPL5P34	9	13	12	7	9	7
EIF2AK3-DT	21	14	17	14	4	10
RPS3AP44	11	8	6	5	4	4
TXNP6	16	18	8	15	9	12
RPS15AP11	2	3	2	1	1	2
SRP14P2	10	9	9	10	7	9
RPL13AP6	1	1	0	0	0	4
RHBDF1P1	4	5	3	1	3	2
TRIM26	489	466	409	485	451	390
AP2B1P1	43	43	42	34	25	29
NAP1L4P3	42	36	33	36	38	35
RNASEH1-AS1	154	137	133	80	87	90
HSPA8P1	45	45	35	35	37	38
LINC01952	3	2	5	3	3	5
LINC01191	2	1	0	0	0	0
FHP1	4	6	5	1	2	1
CDCA4P4	9	6	8	14	6	8
LIX1L-AS1	5	6	2	3	2	4
ZFX-AS1	1	2	2	0	0	1
BOK-AS1	3	2	3	1	2	3
SOD2P1	0	1	0	37	36	35
DEPDC1-AS1	3	4	3	2	7	5
ZNF879	86	70	83	50	45	41
PSIP1P1	58	59	49	54	50	43
OSTCP5	2	1	2	1	1	0
MRPS10P2	1	2	2	2	2	1
ZNF232-AS1	43	53	37	24	25	22
BCAS2P2	10	7	8	2	4	1
RPS4XP11	8	5	7	6	7	7
ELF2P1	7	4	3	7	1	2
RPS26P47	1	1	1	0	0	1
TATDN1P1	27	36	35	37	35	40
SNX18P7	67	53	67	60	48	71
CTBP2P8	11	10	14	15	17	15
USP27X-AS1	14	19	14	9	10	11
ZNF37BP	626	630	558	791	783	792
PINLYP	3	3	3	5	1	4
ZNF101P2	12	13	18	4	3	5
ACBD3-AS1	3	0	0	0	1	0
RPL27P6	6	5	7	7	5	4
HNRNPA1P51	1	3	2	4	1	1
RPL34-DT	2	1	0	1	1	3
RHOXF1P1	2	0	1	2	5	3
SP2-AS1	17	12	10	6	6	5
RPL13AP20	5	1	1	0	1	2
FYTTD1P1	3	0	0	4	1	1
PPP1R2P1	1	1	0	0	1	1
PTGES3P1	101	87	92	87	96	83
CSNK1G2P1	3	4	2	3	2	0
FAM133B	68	69	68	39	55	51
API5P1	59	58	54	43	35	44
COX6B1P1	5	5	4	6	5	5
RAD1P1	1	1	0	2	0	2
CCT6P3	26	26	22	22	23	20
TJAP1P1	1	3	0	0	2	1
MCIDAS	0	0	0	6	1	2
MAPKAPK5-AS1	102	90	100	80	63	77
JRK	701	626	561	663	627	542
SNRK-AS1	4	2	1	0	1	2
RPSAP9	1	1	0	1	2	5
LINC00380	14	18	9	0	0	0
WDR82P1	13	11	14	16	17	15
MED14OS	2	3	5	1	0	1
YWHAEP5	15	20	15	16	15	12
LRRTM4-AS1	11	12	12	0	0	0
LINC01934	1	2	0	0	0	1
HMGN2P5	29	33	28	28	33	26
LERFS	25	27	23	14	13	16
ELF3-AS1	3	3	3	0	0	2
SDCBP2-AS1	54	56	48	21	20	28
NUS1P2	5	3	5	3	7	6
EPCAM-DT	4	8	8	1	1	0
HMGA1P4	10	6	8	6	3	4
SEC61G-DT	2	4	1	2	0	1
UPF3AP3	11	10	8	4	9	7
TUBB8P11	0	1	0	1	0	0
KRT18P15	7	13	11	11	10	15
GAS5	974	966	838	979	1111	956
HLA-B	711	704	689	154	134	138
FOXP4-AS1	6	7	8	10	10	5
WASH4P	1	0	1	2	2	2
SLC25A25-AS1	142	144	137	131	96	106
LINC00412	6	5	4	1	2	3
C11orf94	9	4	5	7	6	1
TPT1P9	16	10	14	9	13	8
EEF1GP5	2	0	0	1	0	1
HSPA8P3	11	7	19	11	9	16
NUTF2P4	1	4	4	2	1	2
RPS3AP6	23	20	16	16	20	19
MORF4	3	5	4	2	3	4
SVIL2P	11	8	11	5	3	5
ECI2-DT	1	1	4	3	1	1
XRCC6P2	76	67	63	85	73	68
NXT1-AS1	5	5	4	3	2	0
RPL23AP42	47	43	38	45	47	38
EIF3EP1	31	27	33	29	34	31
MTND5P26	1	3	0	5	3	2
HNRNPDLP2	0	0	0	1	1	1
SOX9-AS1	10	11	9	0	0	0
TEX21P	25	20	20	12	17	12
SNHG20	95	101	72	82	75	76
ATP5PDP4	16	19	17	17	12	10
LINC01659	13	9	8	3	1	1
GTF3C2-AS1	1	1	3	1	1	4
SDHCP3	2	4	4	3	2	2
LINC01524	0	1	2	1	2	1
FABP5P7	7	4	4	18	21	19
SHISA8	6	8	0	37	44	30
ACTG1P25	4	6	4	11	12	8
SNRPCP19	0	0	0	4	0	0
EIF4A1P2	29	27	27	22	27	26
JCADP1	2	9	3	1	1	0
COX20P2	10	14	9	10	11	12
SEMA3F-AS1	2	0	1	1	0	1
DAAM2-AS1	0	0	0	0	1	0
C19orf81	19	18	23	19	9	13
TECRP1	93	87	81	83	65	75
PPIAP3	1	1	0	1	0	0
SLC25A5P2	6	15	11	11	13	10
RPL24P2	12	11	6	6	7	1
ARNILA	11	7	9	4	1	2
ZRANB2-AS1	3	1	0	0	1	0
SUMO1P3	49	48	40	41	35	35
CHCHD2P6	40	42	34	35	31	36
RPL7L1P3	14	9	4	5	7	6
ID2-AS1	43	39	48	19	16	14
ANKRD65	0	0	0	1	0	0
BRD3OS	426	437	378	351	310	292
ZSCAN31	31	36	27	18	25	26
RPSAP16	14	4	13	5	4	8
C12orf75	220	185	183	191	206	182
CDK5P1	6	2	2	3	2	0
SMIM1	37	29	28	35	33	30
HGH1	316	308	282	544	492	478
RPL39P3	25	25	23	26	27	27
SRP14P3	3	2	4	1	1	1
NUCB1-AS1	1	1	1	0	0	0
PPP1R3E	112	123	94	92	75	99
TATDN2P3	0	0	0	6	7	5
TUBBP6	4	4	5	3	2	2
FAM83C-AS1	4	5	3	6	1	5
TSPY26P	8	16	9	7	4	4
RPL31P17	1	1	1	1	1	3
SUMO2P1	28	26	26	18	26	24
DANT2	54	44	42	28	40	31
ITGA9-AS1	35	25	35	16	12	19
KDM5C-IT1	4	3	4	7	3	3
KDM4E	8	8	8	0	0	0
RAMACL	49	43	50	57	53	46
MCF2L-AS1	3	1	1	0	1	1
SNORD62A	1	3	1	2	0	2
FAUP1	52	54	43	50	51	46
HLA-Z	0	0	0	0	0	0
HM13-IT1	7	8	4	9	8	6
RPL23AP69	1	1	0	1	1	2
DUSP8P5	29	33	13	28	19	15
RPL12P25	1	3	4	0	2	2
RPSAP76	0	1	1	1	0	0
GEMIN2P2	1	0	0	2	1	1
RPS29P16	3	9	3	6	2	4
SNRPGP10	5	9	3	7	6	4
SAPCD2P2	12	8	9	12	9	10
DNM1P51	0	0	1	1	0	0
SSR4P1	7	9	5	6	11	5
RPEL1	44	33	35	41	39	27
LINC02154	5	7	4	5	1	1
SPAAR	1	0	2	3	2	2
SNORA71B	21	18	20	23	21	25
DRG1P1	22	22	20	20	19	16
LINC01278	425	392	434	374	311	350
ESRRAP2	2	1	0	1	1	1
LURAP1L-AS1	3	0	2	6	4	8
SMIM27	25	18	16	11	10	16
HAUS6P3	9	9	7	7	4	7
RPS26P31	2	2	2	1	1	0
EIF4A1P7	8	5	7	5	6	6
UBE2R2-AS1	2	0	2	1	0	0
JARID2-AS1	3	1	0	1	1	0
DBF4P1	59	60	57	61	65	63
CNN3-DT	26	36	29	5	3	1
CASP4LP	9	8	6	0	0	0
RPS2P7	4	2	5	3	4	8
L3MBTL2-AS1	2	2	0	1	1	3
HIPK1-AS1	4	3	3	1	1	0
AGAP1-IT1	11	11	10	8	7	7
RPL6P27	60	63	58	55	49	47
SRSF6P2	25	28	21	22	21	18
SUMO1P4	4	2	1	0	2	0
NOP56P1	13	14	16	18	17	15
RPL38P5	1	1	1	0	5	3
GAPDHP65	41	45	40	41	41	42
GNAS-AS1	1	1	0	1	1	3
BARX1-DT	0	0	0	15	16	5
NSRP1P1	14	10	8	12	16	18
FAM21EP	7	7	5	6	10	7
RPL36AP33	1	1	1	2	1	2
NUS1P1	46	34	40	31	31	37
G3BP1P1	41	36	31	32	31	23
FBXO30-DT	2	6	0	6	5	3
H3P6	13	11	8	10	9	3
LINC00345	3	2	1	0	0	0
SAPCD1-AS1	0	1	1	0	0	1
RPL21P40	2	2	2	0	1	0
LDHAP2	13	13	11	9	12	10
HIGD2AP2	5	8	5	5	6	4
PA2G4P2	25	14	21	19	18	16
PCBP2P1	10	11	8	9	8	7
LINC00894	55	39	36	34	35	49
DICER1-AS1	17	11	8	14	9	14
KRT18P46	0	0	0	5	10	5
GABPAP	61	53	42	52	57	51
HMGN1P36	6	3	3	2	7	2
SEPTIN14P12	20	13	13	34	22	26
KIAA0040	1	0	1	3	2	2
MSH2-OT1	10	7	7	0	1	3
BRD7P5	8	12	9	11	8	4
ZNRF3-IT1	6	5	6	6	4	15
PEF1-AS1	6	2	3	1	0	0
MYL6P2	1	2	5	3	2	3
IFITM4P	5	2	2	3	3	1
OLMALINC	153	143	145	88	78	86
BHLHE40-AS1	7	9	5	5	2	5
HSP90AB7P	4	2	1	3	1	2
LDHAP7	14	12	11	12	14	11
RMDN2-AS1	3	7	5	3	6	2
B3GALT4	11	17	11	19	16	13
GSN-AS1	0	2	1	0	0	0
FAR1P1	1	3	2	1	8	1
TSPEAR-AS1	31	25	22	13	15	6
PKMP2	2	1	0	1	0	1
TM4SF19-AS1	20	10	11	4	6	7
CPB2-AS1	0	2	1	0	0	1
RBMS3-AS3	95	90	63	21	9	13
RHOA-IT1	5	3	7	8	2	4
MRPS18CP7	9	4	12	6	7	14
MTCO2P11	3	2	4	0	2	1
ASH1L-AS1	29	34	28	24	22	18
THRAP3P3	6	4	7	6	7	4
NEXN-AS1	7	8	5	6	3	3
ZNF815P	2	1	4	0	1	1
H2BW3P	0	3	0	1	2	0
TTC28-AS1	129	138	117	95	89	91
COX7CP1	6	7	7	8	11	12
PNMA6A	13	12	15	16	17	12
RPL23AP20	3	5	1	2	0	0
ASMTL-AS1	45	39	28	35	31	33
NSA2P1	13	12	11	16	12	11
FABP5P2	0	0	0	1	1	1
RPL13AP12	7	4	7	3	5	5
SSBL5P	19	13	16	20	22	23
MYCBP2-AS1	3	3	2	1	0	3
RPL17P36	4	4	0	1	2	0
HSPB1P1	3	3	4	3	3	5
ELFN1-AS1	0	0	0	4	1	0
COX10-AS1	56	69	52	74	80	73
LDHAP3	8	3	4	5	4	5
ZBTB22	116	108	98	68	64	59
PRELID3BP10	4	4	3	11	13	3
SCN1A-AS1	5	3	2	1	0	0
PTCSC2	0	0	0	1	1	2
DUX4L26	2	1	1	0	0	1
TMEM147-AS1	340	312	281	212	169	157
MRPS36P1	26	23	19	18	22	16
PRADC1P1	10	8	7	12	10	8
TCEA1P4	11	11	13	8	13	17
KDM4A-AS1	45	49	29	36	28	30
LINC01376	0	2	1	2	0	0
PPP1R11P1	1	2	3	1	0	1
VEZF1P1	5	4	6	7	4	6
MTND4P14	2	3	2	4	3	2
EI24P2	11	14	10	8	8	11
RPL26P30	25	23	22	15	25	14
NDUFB9P2	11	8	5	11	7	11
ZBED5	445	433	410	290	313	311
SLC12A9-AS1	3	6	3	2	1	5
EEF1E1P1	7	6	3	3	3	3
RPL34P34	1	0	1	1	1	0
RPL5P9	2	5	2	1	2	1
TRHDE-AS1	218	206	186	1	2	2
FMR1-IT1	2	0	1	0	2	0
SUCLG2P2	46	51	37	40	50	42
RRAS2P1	68	54	62	58	71	67
POU5F1P5	2	5	5	6	4	8
CCDC200	0	1	1	0	0	0
DDX11L2	11	7	13	7	7	4
VLDLR-AS1	37	41	31	2	2	3
NRADDP	1	2	1	5	1	2
LINC01134	12	14	10	15	13	16
MFF-DT	23	22	14	7	7	6
FAM157A	12	11	10	9	3	7
COPRSP1	8	6	8	6	6	9
UBE2L5	2	1	1	1	2	1
ATG10-IT1	2	1	1	3	0	1
GCNT1P1	0	1	2	2	2	1
PKMP1	25	20	16	23	23	24
RRM2P2	3	1	1	2	2	2
EIF2S2P3	15	19	20	18	22	17
GPS2P1	11	6	14	12	9	8
LINC00896	17	16	16	13	11	7
SIX3-AS1	3	4	2	0	0	0
LINC01424	27	24	25	28	22	29
NPM1P40	0	3	1	1	0	0
KPNA2P1	2	3	2	3	2	3
RC3H1-IT1	14	5	7	8	8	8
HNRNPA1P54	1	1	1	2	0	3
MED28P7	1	0	0	0	1	0
MYCL-AS1	1	4	4	0	0	0
RNF217-AS1	0	2	2	0	0	0
RPL13AP5	125	124	114	123	115	114
HNRNPA3P5	46	44	41	37	40	35
TCF3P1	4	6	3	5	7	6
RAD23BP1	24	24	30	21	23	27
SNRPGP14	1	2	2	0	1	3
PRPF38AP2	9	9	9	5	7	8
RANP1	79	67	68	63	66	59
EIF4A1P6	3	1	1	0	1	1
ZNF853	84	74	69	30	40	29
PITPNA-AS1	48	37	50	28	25	35
DLX2-DT	34	30	23	28	27	34
KRT18P5	19	15	14	20	22	21
PRKG1-AS1	14	15	13	51	70	64
MAP3K2-DT	20	22	21	20	11	27
HMGA1P1	7	9	5	11	10	5
BZW1P1	17	13	14	19	18	18
EIF1AXP1	138	135	129	136	146	114
RPL31P63	1	0	0	2	0	1
CLIC4P1	30	25	24	17	17	15
LINC01186	3	1	1	1	0	0
MKLN1-AS	69	62	49	44	40	42
DNAJC9-AS1	8	4	4	3	2	5
RPL19P16	6	7	6	7	5	9
COX7A2P2	3	5	5	9	13	5
INTS6-AS1	22	33	19	7	10	6
LINC01829	14	13	18	1	3	0
BCRP8	0	1	0	3	0	1
SPA17P1	2	1	2	1	0	2
RPL24P8	29	24	22	21	22	20
RPS3AP12	2	5	1	0	1	1
SNX25P1	4	4	4	4	5	7
ELOA-AS1	29	20	25	19	18	21
GAPDHP2	1	1	3	3	0	1
BTF3P8	2	2	2	2	1	1
ANKRD20A7P	5	3	7	2	0	0
ARL5AP2	8	5	8	1	1	3
BCYRN1	1	2	1	1	3	1
CBR3-AS1	3	0	0	1	1	1
SSBL2P	29	28	21	23	26	20
NIFK-AS1	65	60	49	29	39	29
LINC00106	23	29	22	31	31	19
ASS1P7	1	2	0	0	0	0
MIR600HG	70	63	54	49	50	68
LINC02827	2	0	0	0	3	1
LINC01852	21	32	19	1	6	3
PTGES3P4	6	6	6	6	6	6
NF1P8	19	6	13	12	9	8
ANKRD44-IT1	2	1	0	3	4	3
CTDSPL2P1	3	4	5	1	4	4
RPL12P12	3	2	2	4	3	0
GAPDHP21	1	0	0	1	2	0
ZNRF2P1	40	35	34	48	50	30
KRT18P52	1	2	2	1	0	0
LAPTM4BP1	3	2	0	2	3	3
LINC01812	0	0	1	1	1	3
CASP3P1	0	2	0	0	1	0
ZEB1-AS1	73	79	73	30	45	42
NDUFA6-DT	22	18	14	15	12	15
RPS28P4	6	1	6	6	0	6
PRMT5-AS1	10	8	7	4	0	11
EIF3IP1	10	14	11	10	11	9
RPL38P2	10	7	8	8	11	9
EHMT2-AS1	1	1	2	0	0	1
COX5BP6	2	2	1	2	3	1
HAND2-AS1	17	23	16	0	0	0
RASGRP3-AS1	0	0	1	2	0	1
DDX10P1	1	3	1	2	0	2
MCFD2P1	3	1	0	0	0	0
B3GNT9	8	7	4	19	2	11
NR2F1-AS1	305	296	284	282	260	286
CDKN2AIPNL	216	202	184	158	156	146
SNAI1P1	8	8	9	0	0	0
ZBTB40-IT1	2	5	1	3	3	2
IMPDH1P4	1	0	2	2	3	2
RPS3AP39	0	0	0	0	2	2
ZNF295-AS1	1	0	0	0	1	0
TMEM26-AS1	3	1	2	1	7	5
BMS1P10	4	5	9	5	9	6
PPIAP67	5	7	5	1	3	5
RSL24D1P8	4	4	3	6	1	3
ANO7L1	8	6	2	2	3	0
HNRNPA1P2	1	0	1	2	0	2
CKMT1B	86	94	78	50	53	50
SMG1P1	39	27	30	26	30	18
TTN-AS1	343	303	268	194	206	194
MTCO1P19	2	1	3	0	1	0
SRRM1P3	30	18	19	16	15	17
CDC42P6	73	76	63	71	71	69
TUSC8	16	14	5	0	0	0
BRWD1-IT1	2	1	5	1	5	3
HOXD-AS2	3	2	1	0	0	0
PITRM1-AS1	5	5	5	14	12	12
NDUFA9P1	12	16	10	13	12	10
XRCC6P1	11	6	8	11	8	14
FOXD2-AS1	9	16	15	30	31	27
RPSAP11	0	0	1	1	1	0
LINC02790	25	29	22	0	0	0
CAMTA1-DT	4	3	2	2	4	2
CECR7	266	243	258	161	134	124
ZNF737	145	128	132	1	0	0
RGL2	261	259	223	262	213	216
CDC27P2	6	3	3	5	5	6
CDK2AP2P2	1	1	2	0	0	0
LINC01351	5	3	1	0	0	0
LINC01637	3	2	4	4	7	3
C10orf143	17	9	7	8	6	5
LINC01409	41	27	25	30	29	30
WAKMAR2	4	1	2	0	0	0
PKN2-AS1	3	1	2	0	0	0
RPSAP15	1	3	0	2	3	1
PTP4A1P7	2	2	4	3	2	3
DGCR5	6	10	4	14	17	13
NONOP2	8	5	4	3	1	2
LINC00857	23	22	17	0	0	0
PYY2	1	3	0	0	0	0
LINC01275	2	2	2	0	1	0
DYRK3-AS1	8	10	9	5	5	7
MTCO2P19	3	1	1	0	1	1
PARK7P2	1	2	3	1	5	3
S100A11P1	2	1	0	0	1	0
LINC02245	19	13	12	13	12	5
HLCS-IT1	1	1	0	2	0	2
KIFC1	552	540	482	645	585	547
TNIP2P1	0	0	0	3	3	0
RPS15AP38	13	13	16	12	12	12
RPL30P4	6	6	4	9	4	7
PRKCIP1	39	44	33	38	42	31
ATP5PFP1	5	5	7	5	5	5
SPIN2P1	1	0	0	0	0	0
MTCO3P11	0	1	3	1	0	2
RPS5P8	6	4	6	4	3	4
RNGTTP1	0	0	0	1	1	1
DCTN1-AS1	3	1	0	0	0	3
